,Conditions,Behavior,Confidence,Type
37,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=high AND DayOfWeek=Saturday AND Course_ID=C003 AND TimeOfDay=Morning,Recommended,0.6666666666666666,NORMAL
38,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=high AND DayOfWeek=Saturday AND Course_ID=C003 AND TimeOfDay=Afternoon AND Device_Type=mobile,Recommended,1.0,NORMAL
39,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=high AND DayOfWeek=Saturday AND Course_ID=C001 AND Resource_Type=quiz AND Device_Type=desktop,Recommended,1.0,NORMAL
40,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Monday AND TimeOfDay=Evening AND Course_ID=C003 AND Resource_Type=document,Recommended,1.0,NORMAL
41,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Monday AND TimeOfDay=Evening AND Course_ID=C001,Recommended,1.0,NORMAL
42,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Monday AND TimeOfDay=Evening AND Course_ID=C002,Recommended,1.0,NORMAL
43,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Monday AND TimeOfDay=Night AND Device_Type=desktop AND Resource_Type=quiz,Recommended,1.0,NORMAL
44,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=quiz AND Device_Type=desktop AND Course_ID=C001,Recommended,1.0,NORMAL
45,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=quiz AND Device_Type=mobile AND Course_ID=C002 AND TimeOfDay=Night,Recommended,1.0,NORMAL
46,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=video AND Course_ID=C003,Recommended,0.75,NORMAL
47,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=video AND Course_ID=C003 AND Device_Type=desktop AND TimeOfDay=Night,Recommended,1.0,NORMAL
48,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=video AND Course_ID=C001 AND Device_Type=desktop,Recommended,1.0,NORMAL
49,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Wednesday AND Resource_Type=video AND Course_ID=C005 AND Device_Type=tablet,Recommended,1.0,NORMAL
50,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Tuesday AND Device_Type=desktop AND Course_ID=C003 AND Resource_Type=document,Recommended,1.0,NORMAL
51,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Tuesday AND Device_Type=mobile AND Course_ID=C001 AND Resource_Type=quiz AND TimeOfDay=Afternoon,Recommended,1.0,NORMAL
52,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Sunday AND TimeOfDay=Afternoon AND Resource_Type=quiz AND Device_Type=tablet,Recommended,1.0,NORMAL
53,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Sunday AND TimeOfDay=Evening AND Course_ID=C003,Recommended,1.0,NORMAL
54,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Sunday AND TimeOfDay=Evening AND Course_ID=C001,Recommended,0.6666666666666666,NORMAL
55,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Sunday AND TimeOfDay=Evening AND Course_ID=C005,Recommended,1.0,NORMAL
56,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Friday AND TimeOfDay=Evening AND Resource_Type=quiz,Recommended,1.0,NORMAL
57,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Friday AND TimeOfDay=Evening AND Resource_Type=video AND Device_Type=tablet,Recommended,1.0,NORMAL
58,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Friday AND TimeOfDay=Night AND Resource_Type=document,Recommended,1.0,NORMAL
59,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Friday AND TimeOfDay=Night AND Resource_Type=video,Recommended,0.6,NORMAL
60,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Thursday AND Course_ID=C004 AND Resource_Type=quiz AND TimeOfDay=Afternoon,Recommended,1.0,NORMAL
61,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Thursday AND Course_ID=C004 AND Resource_Type=document,Recommended,1.0,NORMAL
62,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Thursday AND Course_ID=C003 AND TimeOfDay=Evening AND Resource_Type=document,Recommended,1.0,NORMAL
63,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Thursday AND Course_ID=C001 AND Resource_Type=document AND Device_Type=mobile,Recommended,0.6666666666666666,NORMAL
64,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Saturday AND TimeOfDay=Evening AND Course_ID=C003,Recommended,1.0,NORMAL
65,Learning_Efficiency_Category=medium AND Interaction_Rate_Category=low AND DayOfWeek=Saturday AND TimeOfDay=Morning AND Device_Type=tablet AND Course_ID=C003,Recommended,1.0,NORMAL
66,Learning_Efficiency_Category=low,Recommended,1.0,NORMAL
