User_ID,Session_ID,Course_ID,Device_Type,Access_Time,Duration (sec),Clickstream,Prev_Courses_Completed,Feedback_Text,Course_Description,Resource_Type,Performance_Score,Engagement_Level,Recommendation_Label
U1085,S2085,C005,mobile,2025-06-13 09:34:34,551,46,0,"Not much depth, but okay",Basics of Web Development,video,48,0.13,0
U1086,S2086,C004,tablet,2025-05-19 08:08:26,1388,81,3,Excellent and very engaging content,Linear Regression Explained,video,95,0.56,1
U1087,S2087,C004,desktop,2025-06-15 02:11:39,564,30,1,Too basic for my level,Linear Regression Explained,quiz,59,0.08,0
U1088,S2088,C001,tablet,2025-06-07 03:36:39,1087,75,5,Informative and well-paced,Introduction to Machine Learning,quiz,93,0.41,1
U1089,S2089,C002,tablet,2025-06-10 08:23:31,1728,91,4,Very detailed and easy to follow,Deep Learning Basics,document,80,0.79,1
U1090,S2090,C002,mobile,2025-05-29 15:28:34,1313,97,4,Detailed explanation and examples,Deep Learning Basics,quiz,95,0.64,1
U1091,S2091,C003,mobile,2025-06-05 04:48:54,1563,81,4,Excellent and very engaging content,Data Structures in Python,document,94,0.63,1
U1092,S2092,C003,desktop,2025-05-28 10:17:18,497,30,0,Needs better visuals,Data Structures in Python,quiz,63,0.07,0
U1093,S2093,C002,desktop,2025-06-01 05:59:24,795,28,1,I couldn’t understand the topic,Deep Learning Basics,document,43,0.11,0
U1094,S2094,C002,mobile,2025-06-04 07:49:20,314,42,0,Too fast and less interactive,Deep Learning Basics,video,48,0.07,0
U1095,S2095,C005,mobile,2025-06-12 21:49:10,1129,100,4,Very detailed and easy to follow,Basics of Web Development,quiz,83,0.56,1
U1096,S2096,C003,mobile,2025-06-13 17:21:09,1348,71,3,Informative and well-paced,Data Structures in Python,video,88,0.48,1
U1097,S2097,C001,mobile,2025-06-03 15:41:06,1590,100,5,Good pace but some examples missing,Introduction to Machine Learning,video,81,0.8,1
U1098,S2098,C005,mobile,2025-06-03 23:03:25,554,23,1,Needs better visuals,Basics of Web Development,quiz,59,0.06,0
U1099,S2099,C002,tablet,2025-05-22 02:44:31,753,29,1,Needs better visuals,Deep Learning Basics,quiz,49,0.11,0
U1100,S2100,C001,tablet,2025-05-19 12:20:45,1101,73,5,Excellent and very engaging content,Introduction to Machine Learning,quiz,86,0.4,1
U1101,S2101,C001,desktop,2025-06-16 04:03:06,865,22,0,"Not much depth, but okay",Introduction to Machine Learning,document,40,0.1,0
U1102,S2102,C005,mobile,2025-06-02 04:34:43,537,29,1,"Not much depth, but okay",Basics of Web Development,video,62,0.08,0
U1103,S2103,C002,mobile,2025-05-23 06:56:04,1640,97,5,Informative and well-paced,Deep Learning Basics,video,86,0.8,1
U1104,S2104,C005,desktop,2025-06-03 00:32:27,1272,69,3,Good pace but some examples missing,Basics of Web Development,document,81,0.44,1
U1105,S2105,C005,tablet,2025-06-10 11:10:44,1295,88,3,Excellent and very engaging content,Basics of Web Development,quiz,94,0.57,1
U1106,S2106,C004,mobile,2025-06-11 03:31:30,1505,88,3,Very detailed and easy to follow,Linear Regression Explained,document,99,0.66,1
U1107,S2107,C003,tablet,2025-06-02 17:22:48,393,27,0,Too basic for my level,Data Structures in Python,quiz,64,0.05,0
U1108,S2108,C001,desktop,2025-05-29 01:18:15,1667,88,4,Detailed explanation and examples,Introduction to Machine Learning,document,85,0.73,1
U1109,S2109,C004,desktop,2025-06-13 06:31:02,1418,81,4,Good pace but some examples missing,Linear Regression Explained,document,83,0.57,1
U1110,S2110,C004,tablet,2025-05-19 21:11:19,1678,85,5,Informative and well-paced,Linear Regression Explained,video,81,0.71,1
U1111,S2111,C003,mobile,2025-05-28 14:07:55,713,47,0,Needs better visuals,Data Structures in Python,document,61,0.17,0
U1112,S2112,C004,desktop,2025-06-09 02:48:55,670,39,1,"Not much depth, but okay",Linear Regression Explained,video,60,0.13,0
U1113,S2113,C002,mobile,2025-06-15 20:51:41,1294,88,5,Very detailed and easy to follow,Deep Learning Basics,video,95,0.57,1
U1114,S2114,C005,desktop,2025-05-29 14:26:52,1318,95,3,Informative and well-paced,Basics of Web Development,video,97,0.63,1
U1115,S2115,C002,desktop,2025-05-31 00:07:56,1120,69,4,Detailed explanation and examples,Deep Learning Basics,quiz,89,0.39,1
U1116,S2116,C003,mobile,2025-06-16 11:09:52,1483,75,4,Good pace but some examples missing,Data Structures in Python,document,97,0.56,1
U1117,S2117,C002,tablet,2025-05-27 11:49:22,1139,64,4,Excellent and very engaging content,Deep Learning Basics,quiz,93,0.36,1
U1118,S2118,C003,desktop,2025-05-31 17:55:39,605,46,1,"Not much depth, but okay",Data Structures in Python,quiz,44,0.14,0
U1119,S2119,C004,mobile,2025-06-10 21:42:13,856,32,1,I couldn’t understand the topic,Linear Regression Explained,quiz,50,0.14,0
U1120,S2120,C002,tablet,2025-06-14 02:12:47,720,21,1,"Not much depth, but okay",Deep Learning Basics,quiz,63,0.08,0
U1121,S2121,C004,mobile,2025-06-03 16:53:50,1667,69,4,Good pace but some examples missing,Linear Regression Explained,quiz,81,0.58,1
U1122,S2122,C005,mobile,2025-06-07 08:40:40,1450,66,5,Very detailed and easy to follow,Basics of Web Development,quiz,94,0.48,1
U1123,S2123,C002,mobile,2025-05-19 17:27:09,1158,64,4,Excellent and very engaging content,Deep Learning Basics,quiz,88,0.37,1
U1124,S2124,C004,tablet,2025-05-19 16:32:53,636,47,1,"Not much depth, but okay",Linear Regression Explained,quiz,50,0.15,0
U1125,S2125,C001,tablet,2025-05-30 06:09:02,594,27,0,Too fast and less interactive,Introduction to Machine Learning,quiz,53,0.08,0
U1126,S2126,C001,mobile,2025-06-03 08:21:08,606,48,0,Too basic for my level,Introduction to Machine Learning,video,41,0.15,0
U1127,S2127,C003,mobile,2025-05-24 22:11:02,449,27,1,I couldn’t understand the topic,Data Structures in Python,video,58,0.06,0
U1128,S2128,C002,desktop,2025-05-17 14:30:24,1391,99,5,Informative and well-paced,Deep Learning Basics,quiz,87,0.69,1
U1129,S2129,C002,desktop,2025-06-01 01:34:08,1260,89,4,Informative and well-paced,Deep Learning Basics,document,80,0.56,1
U1130,S2130,C005,desktop,2025-06-05 17:31:20,653,38,1,"Not much depth, but okay",Basics of Web Development,quiz,60,0.12,0
U1131,S2131,C003,mobile,2025-05-29 14:24:07,1203,84,4,Good pace but some examples missing,Data Structures in Python,document,83,0.51,1
U1132,S2132,C005,mobile,2025-06-06 21:12:54,1716,78,3,Excellent and very engaging content,Basics of Web Development,video,92,0.67,1
U1133,S2133,C005,tablet,2025-06-03 16:37:51,1050,98,5,Excellent and very engaging content,Basics of Web Development,video,95,0.51,1
U1134,S2134,C005,mobile,2025-06-02 01:42:58,494,39,1,I couldn’t understand the topic,Basics of Web Development,quiz,61,0.1,0
U1135,S2135,C001,tablet,2025-06-15 03:42:44,1316,88,3,Excellent and very engaging content,Introduction to Machine Learning,quiz,98,0.58,1
U1136,S2136,C002,desktop,2025-05-18 20:50:12,1334,86,3,Good pace but some examples missing,Deep Learning Basics,quiz,86,0.57,1
U1137,S2137,C003,tablet,2025-06-11 12:16:21,1279,70,4,Excellent and very engaging content,Data Structures in Python,quiz,95,0.45,1
U1138,S2138,C003,desktop,2025-05-24 21:47:08,1077,69,3,Detailed explanation and examples,Data Structures in Python,document,92,0.37,1
U1139,S2139,C001,mobile,2025-06-14 17:48:35,849,23,1,Too basic for my level,Introduction to Machine Learning,quiz,51,0.1,0
U1140,S2140,C004,tablet,2025-05-29 22:21:28,1110,74,4,Detailed explanation and examples,Linear Regression Explained,quiz,80,0.41,1
U1141,S2141,C003,tablet,2025-05-30 06:41:57,364,40,1,Too basic for my level,Data Structures in Python,quiz,62,0.07,0
U1142,S2142,C004,desktop,2025-05-20 05:51:55,338,29,1,Too fast and less interactive,Linear Regression Explained,video,43,0.05,0
U1143,S2143,C005,desktop,2025-06-07 07:05:51,679,41,1,I couldn’t understand the topic,Basics of Web Development,document,58,0.14,0
U1144,S2144,C001,mobile,2025-06-02 18:26:41,1286,62,5,Good pace but some examples missing,Introduction to Machine Learning,document,91,0.4,1
U1145,S2145,C004,desktop,2025-05-24 14:34:32,1101,83,5,Excellent and very engaging content,Linear Regression Explained,video,100,0.46,1
U1146,S2146,C004,mobile,2025-05-20 14:45:38,425,50,1,I couldn’t understand the topic,Linear Regression Explained,quiz,42,0.11,0
U1147,S2147,C005,desktop,2025-05-22 12:14:13,641,27,0,Needs better visuals,Basics of Web Development,video,65,0.09,0
U1148,S2148,C001,tablet,2025-05-21 22:01:21,521,46,0,I couldn’t understand the topic,Introduction to Machine Learning,quiz,50,0.12,0
U1149,S2149,C001,mobile,2025-05-26 12:26:05,1148,68,5,Good pace but some examples missing,Introduction to Machine Learning,video,88,0.39,1
U1150,S2150,C001,desktop,2025-05-18 18:16:12,543,38,1,I couldn’t understand the topic,Introduction to Machine Learning,document,40,0.1,0
U1151,S2151,C001,desktop,2025-05-20 16:04:44,1538,67,5,Informative and well-paced,Introduction to Machine Learning,document,82,0.52,1
U1152,S2152,C003,tablet,2025-05-22 06:08:13,1462,92,3,Very detailed and easy to follow,Data Structures in Python,quiz,99,0.67,1
U1153,S2153,C005,mobile,2025-05-18 02:17:33,1031,63,4,Informative and well-paced,Basics of Web Development,quiz,92,0.32,1
U1154,S2154,C001,mobile,2025-05-23 22:07:21,1454,64,3,Detailed explanation and examples,Introduction to Machine Learning,video,90,0.47,1
U1155,S2155,C001,desktop,2025-05-17 18:15:02,899,37,1,Needs better visuals,Introduction to Machine Learning,quiz,52,0.17,0
U1156,S2156,C003,mobile,2025-06-05 07:57:26,1440,66,5,Detailed explanation and examples,Data Structures in Python,quiz,83,0.48,1
U1157,S2157,C002,mobile,2025-05-18 06:01:36,1233,86,4,Informative and well-paced,Deep Learning Basics,document,94,0.53,1
U1158,S2158,C001,mobile,2025-05-18 23:19:48,1681,76,4,Informative and well-paced,Introduction to Machine Learning,video,84,0.64,1
U1159,S2159,C001,desktop,2025-05-20 03:21:57,398,43,1,I couldn’t understand the topic,Introduction to Machine Learning,quiz,65,0.09,0
U1160,S2160,C001,tablet,2025-06-04 22:29:38,1575,81,5,Informative and well-paced,Introduction to Machine Learning,document,83,0.64,1
U1161,S2161,C004,tablet,2025-06-12 01:48:13,594,39,1,Too fast and less interactive,Linear Regression Explained,quiz,51,0.12,0
U1162,S2162,C005,desktop,2025-05-27 19:15:33,793,27,0,Needs better visuals,Basics of Web Development,document,51,0.11,0
U1163,S2163,C001,mobile,2025-06-01 03:18:51,1439,95,5,Detailed explanation and examples,Introduction to Machine Learning,video,99,0.68,1
U1164,S2164,C005,tablet,2025-06-13 06:32:48,1273,61,3,Excellent and very engaging content,Basics of Web Development,document,88,0.39,1
U1165,S2165,C003,desktop,2025-06-05 23:10:10,446,38,1,I couldn’t understand the topic,Data Structures in Python,quiz,42,0.08,0
U1166,S2166,C001,desktop,2025-06-07 23:36:58,1220,84,4,Excellent and very engaging content,Introduction to Machine Learning,video,94,0.51,1
U1167,S2167,C003,mobile,2025-06-04 01:30:48,1795,96,5,Very detailed and easy to follow,Data Structures in Python,video,82,0.86,1
U1168,S2168,C002,tablet,2025-06-05 15:22:01,383,28,1,"Not much depth, but okay",Deep Learning Basics,document,61,0.05,0
U1169,S2169,C005,mobile,2025-05-20 01:11:05,1220,92,3,Informative and well-paced,Basics of Web Development,video,91,0.56,1
U1170,S2170,C003,tablet,2025-06-03 12:52:35,1498,93,5,Very detailed and easy to follow,Data Structures in Python,video,89,0.7,1
U1171,S2171,C004,tablet,2025-05-28 07:02:58,509,29,0,I couldn’t understand the topic,Linear Regression Explained,document,64,0.07,0
U1172,S2172,C003,mobile,2025-06-13 12:31:13,809,43,1,I couldn’t understand the topic,Data Structures in Python,document,45,0.17,0
U1173,S2173,C005,tablet,2025-05-18 19:17:37,872,46,1,"Not much depth, but okay",Basics of Web Development,quiz,42,0.2,0
U1174,S2174,C001,mobile,2025-05-27 00:54:15,379,47,1,"Not much depth, but okay",Introduction to Machine Learning,quiz,58,0.09,0
U1175,S2175,C004,tablet,2025-06-13 17:53:30,1296,67,4,Excellent and very engaging content,Linear Regression Explained,video,80,0.43,1
U1176,S2176,C005,mobile,2025-06-02 09:09:49,1370,65,4,Good pace but some examples missing,Basics of Web Development,document,83,0.45,1
U1177,S2177,C005,mobile,2025-05-27 05:04:03,1405,79,5,Good pace but some examples missing,Basics of Web Development,document,90,0.55,1
U1178,S2178,C002,desktop,2025-05-25 17:20:29,1116,93,5,Excellent and very engaging content,Deep Learning Basics,document,86,0.52,1
U1179,S2179,C002,desktop,2025-05-31 18:50:23,562,26,0,I couldn’t understand the topic,Deep Learning Basics,quiz,59,0.07,0
U1180,S2180,C001,desktop,2025-05-23 06:59:27,1643,91,4,Detailed explanation and examples,Introduction to Machine Learning,document,98,0.75,1
U1181,S2181,C005,tablet,2025-06-01 17:59:47,1639,80,5,Good pace but some examples missing,Basics of Web Development,document,90,0.66,1
U1182,S2182,C001,mobile,2025-05-22 12:26:04,1310,77,5,Excellent and very engaging content,Introduction to Machine Learning,quiz,81,0.5,1
U1183,S2183,C001,mobile,2025-05-31 06:54:29,1038,63,4,Very detailed and easy to follow,Introduction to Machine Learning,quiz,89,0.33,1
U1184,S2184,C001,tablet,2025-06-15 05:00:42,1393,89,5,Very detailed and easy to follow,Introduction to Machine Learning,document,97,0.62,1
U1185,S2185,C005,tablet,2025-05-18 15:33:31,787,36,0,"Not much depth, but okay",Basics of Web Development,video,41,0.14,0
U1186,S2186,C003,tablet,2025-05-30 07:14:55,476,21,0,"Not much depth, but okay",Data Structures in Python,document,62,0.05,0
U1187,S2187,C005,tablet,2025-05-20 13:08:15,1372,83,4,Informative and well-paced,Basics of Web Development,document,92,0.57,1
U1188,S2188,C005,desktop,2025-05-20 22:15:26,1662,81,3,Very detailed and easy to follow,Basics of Web Development,quiz,90,0.67,1
U1189,S2189,C004,mobile,2025-06-09 12:23:23,453,30,0,I couldn’t understand the topic,Linear Regression Explained,document,58,0.07,0
U1190,S2190,C003,tablet,2025-05-21 03:14:03,1401,68,5,Excellent and very engaging content,Data Structures in Python,quiz,82,0.48,1
U1191,S2191,C004,tablet,2025-05-28 20:05:09,1130,93,3,Informative and well-paced,Linear Regression Explained,quiz,100,0.53,1
U1192,S2192,C003,desktop,2025-06-13 06:30:29,484,50,0,"Not much depth, but okay",Data Structures in Python,video,50,0.12,0
U1193,S2193,C002,desktop,2025-06-01 05:01:23,602,47,0,Needs better visuals,Deep Learning Basics,quiz,56,0.14,0
U1194,S2194,C005,desktop,2025-06-01 01:46:27,1784,99,3,Informative and well-paced,Basics of Web Development,video,99,0.88,1
U1195,S2195,C002,desktop,2025-06-11 03:11:29,1789,99,3,Very detailed and easy to follow,Deep Learning Basics,document,94,0.89,1
U1196,S2196,C003,tablet,2025-06-16 06:25:02,1454,99,4,Good pace but some examples missing,Data Structures in Python,quiz,94,0.72,1
U1197,S2197,C002,mobile,2025-05-20 08:06:11,1480,72,4,Informative and well-paced,Deep Learning Basics,document,98,0.53,1
U1198,S2198,C003,mobile,2025-06-02 18:58:33,1428,70,3,Good pace but some examples missing,Data Structures in Python,document,99,0.5,1
U1199,S2199,C001,tablet,2025-05-17 12:19:01,1380,95,3,Very detailed and easy to follow,Introduction to Machine Learning,document,96,0.66,1
U1200,S2200,C001,desktop,2025-05-31 19:39:58,825,24,1,I couldn’t understand the topic,Introduction to Machine Learning,document,42,0.1,0
U1201,S2201,C003,desktop,2025-05-28 11:02:16,1405,92,4,Informative and well-paced,Data Structures in Python,video,87,0.65,1
U1202,S2202,C003,desktop,2025-06-06 16:44:02,401,46,1,I couldn’t understand the topic,Data Structures in Python,video,65,0.09,0
U1203,S2203,C001,mobile,2025-06-11 14:43:10,1483,68,5,Informative and well-paced,Introduction to Machine Learning,quiz,95,0.5,1
U1204,S2204,C001,desktop,2025-05-19 17:06:25,520,46,0,Needs better visuals,Introduction to Machine Learning,quiz,57,0.12,0
U1205,S2205,C004,desktop,2025-06-01 20:56:50,1243,79,3,Good pace but some examples missing,Linear Regression Explained,document,81,0.49,1
U1206,S2206,C005,mobile,2025-05-26 23:02:33,811,39,0,Needs better visuals,Basics of Web Development,quiz,60,0.16,0
U1207,S2207,C002,tablet,2025-05-20 14:01:11,739,20,1,Needs better visuals,Deep Learning Basics,document,47,0.07,0
U1208,S2208,C002,tablet,2025-05-24 09:12:59,1536,83,3,Detailed explanation and examples,Deep Learning Basics,quiz,96,0.64,1
